Entity,Year,Per capita CO2‚ emissions (tonnes per capita),,,
Canada,1800,0.005675991,,,
Canada,1801,0.005609875,,,
Canada,1802,0.005544526,,,
Canada,1803,0.005479936,,,
Canada,1804,0.005416096,,,
Canada,1805,0.005353008,,,
Canada,1806,0.005290646,,,
Canada,1807,0.005229019,,,
Canada,1808,0.005168104,,,
Canada,1809,0.005107902,,,
Canada,1810,0.005035713,,,
Canada,1811,0.004970542,,,
Canada,1812,0.004899739,,,
Canada,1813,0.004823534,,,
Canada,1814,0.004742207,,,
Canada,1815,0.004656063,,,
Canada,1816,0.004565459,,,
Canada,1817,0.004470773,,,
Canada,1818,0.004372404,,,
Canada,1819,0.004270775,,,
Canada,1820,0.004166326,,,
Canada,1821,0.00405915,,,
Canada,1822,0.003949727,,,
Canada,1823,0.003838534,,,
Canada,1824,0.003726039,,,
Canada,1825,0.003612696,,,
Canada,1826,0.003498948,,,
Canada,1827,0.003385211,,,
Canada,1828,0.003271881,,,
Canada,1829,0.003159326,,,
Canada,1830,0.003047883,,,
Canada,1831,0.002937686,,,
Canada,1832,0.002831147,,,
Canada,1833,0.002728166,,,
Canada,1834,0.002628645,,,
Canada,1835,0.002532494,,,
Canada,1836,0.002439616,,,
Canada,1837,0.002349917,,,
Canada,1838,0.002263306,,,
Canada,1839,0.002179693,,,
Canada,1840,0.002098987,,,
Canada,1841,0.002022157,,,
Canada,1842,0.001949034,,,
Canada,1843,0.001879381,,,
Canada,1844,0.001812984,,,
Canada,1845,0.001749641,,,
Canada,1846,0.011824183,,,
Canada,1847,0.014682579,,,
Canada,1848,0.01733788,,,
Canada,1849,0.019803462,,,
Canada,1850,0.023564491,,,
Canada,1851,0.027096763,,,
Canada,1852,0.031809781,,,
Canada,1853,0.037607493,,,
Canada,1854,0.044408733,,,
Canada,1855,0.05214516,,,
Canada,1856,0.060759686,,,
Canada,1857,0.071415617,,,
Canada,1858,0.085175353,,,
Canada,1859,0.099546722,,,
Canada,1860,0.117925144,,,
Canada,1861,0.139048785,,,
Canada,1862,0.167046694,,,
Canada,1863,0.205837095,,,
Canada,1864,0.242238881,,,
Canada,1865,0.287830138,,,
Canada,1866,0.345273249,,,
Canada,1867,0.43614309,,,
Canada,1868,0.254812892,,,
Canada,1869,0.18203338,,,
Canada,1870,0.320623087,,,
Canada,1871,0.460350773,,,
Canada,1872,0.471081869,,,
Canada,1873,0.405381647,,,
Canada,1874,0.403578308,,,
Canada,1875,0.460158792,,,
Canada,1876,0.449569464,,,
Canada,1877,0.483123863,,,
Canada,1878,0.455914601,,,
Canada,1879,0.507775172,,,
Canada,1880,1.200089178,,,
Canada,1881,1.264750637,,,
Canada,1882,1.477909035,,,
Canada,1883,1.63902501,,,
Canada,1884,1.872507434,,,
Canada,1885,1.773618013,,,
Canada,1886,1.870799414,,,
Canada,1887,2.134253882,,,
Canada,1888,2.769259382,,,
Canada,1889,2.324758707,,,
Canada,1890,2.529621536,,,
Canada,1891,2.812411996,,,
Canada,1892,2.773877881,,,
Canada,1893,2.936408757,,,
Canada,1894,2.774909632,,,
Canada,1895,2.620589534,,,
Canada,1896,2.80669345,,,
Canada,1897,2.802597747,,,
Canada,1898,2.934956635,,,
Canada,1899,3.526995894,,,
Canada,1900,3.730444315,,,
Canada,1901,4.235126455,,,
Canada,1902,4.484675029,,,
Canada,1903,4.771662181,,,
Canada,1904,5.499877861,,,
Canada,1905,5.718961944,,,
Canada,1906,5.868957772,,,
Canada,1907,7.172853828,,,
Canada,1908,7.018619845,,,
Canada,1909,6.502970584,,,
Canada,1910,7.19019766,,,
Canada,1911,8.169495261,,,
Canada,1912,8.854234725,,,
Canada,1913,10.13290499,,,
Canada,1914,8.526885704,,,
Canada,1915,7.508645035,,,
Canada,1916,9.323902199,,,
Canada,1917,10.31940125,,,
Canada,1918,10.69321625,,,
Canada,1919,8.905030416,,,
Canada,1920,9.630120187,,,
Canada,1921,8.977619372,,,
Canada,1922,7.591192416,,,
Canada,1923,10.06439127,,,
Canada,1924,8.2602427,,,
Canada,1925,7.904129734,,,
Canada,1926,8.746897948,,,
Canada,1927,9.316229295,,,
Canada,1928,9.311475175,,,
Canada,1929,9.647619718,,,
Canada,1930,9.030732042,,,
Canada,1931,7.148988338,,,
Canada,1932,6.528760712,,,
Canada,1933,6.387693989,,,
Canada,1934,7.270714331,,,
Canada,1935,7.099516779,,,
Canada,1936,7.691782007,,,
Canada,1937,8.267794333,,,
Canada,1938,7.493612429,,,
Canada,1939,8.23911452,,,
Canada,1940,9.321875898,,,
Canada,1941,10.19540797,,,
Canada,1942,10.99020414,,,
Canada,1943,11.43242222,,,
Canada,1944,11.48911044,,,
Canada,1945,10.53165459,,,
Canada,1946,10.98298042,,,
Canada,1947,11.16137775,,,
Canada,1948,12.06431801,,,
Canada,1949,10.80962261,,,
Canada,1950,11.2240565,,,
Canada,1951,11.53930621,,,
Canada,1952,11.00814891,,,
Canada,1953,10.7914926,,,
Canada,1954,10.64971446,,,
Canada,1955,10.76918373,,,
Canada,1956,11.72973434,,,
Canada,1957,10.99355804,,,
Canada,1958,10.66934944,,,
Canada,1959,10.53814667,,,
Canada,1960,10.75590983,,,
Canada,1961,10.59859003,,,
Canada,1962,11.08765721,,,
Canada,1963,11.09084514,,,
Canada,1964,12.27210643,,,
Canada,1965,12.78514468,,,
Canada,1966,12.92015198,,,
Canada,1967,13.80500486,,,
Canada,1968,14.61403735,,,
Canada,1969,14.55387441,,,
Canada,1970,15.90366835,,,
Canada,1971,16.15670234,,,
Canada,1972,17.18645091,,,
Canada,1973,16.94265395,,,
Canada,1974,17.05937357,,,
Canada,1975,17.13461565,,,
Canada,1976,17.00790235,,,
Canada,1977,17.17540552,,,
Canada,1978,17.30257207,,,
Canada,1979,18.19120417,,,
Canada,1980,18.04660942,,,
Canada,1981,17.32870167,,,
Canada,1982,16.54994919,,,
Canada,1983,16.140738,,,
Canada,1984,16.6277484,,,
Canada,1985,16.2973034,,,
Canada,1986,15.44028105,,,
Canada,1987,16.21849908,,,
Canada,1988,16.907032,,,
Canada,1989,16.93679672,,,
Canada,1990,16.75098945,,,
Canada,1991,16.2108715,,,
Canada,1992,16.51842538,,,
Canada,1993,16.29600632,,,
Canada,1994,16.64215973,,,
Canada,1995,16.89953229,,,
Canada,1996,17.23565294,,,
Canada,1997,17.56514185,,,
Canada,1998,17.70276776,,,
Canada,1999,18.06151065,,,
Canada,2000,18.62750418,,,
Canada,2001,18.19952289,,,
Canada,2002,18.22697618,,,
Canada,2003,18.57847144,,,
Canada,2004,18.33625945,,,
Canada,2005,17.86428351,,,
Canada,2006,17.47523975,,,
Canada,2007,17.99338175,,,
Canada,2008,17.20741351,,,
Canada,2009,15.99648979,,,
Canada,2010,16.25640466,,,
Canada,2011,16.23619786,,,
Canada,2012,16.15082562,,,
Canada,2013,16.13627594,,,
Canada,2014,15.95317307,,,
Canada,2015,15.73244103,,,
Canada,2016,15.38142016,,,
Canada,2017,15.63945701,,,
